Date,Name,Year,Letterboxd URI,Rating
2020-08-27,Shutter Island,2010,https://boxd.it/1U82,4
2020-08-29,The Founder,2016,https://boxd.it/9XwM,2.5
2020-08-30,The Truman Show,1998,https://boxd.it/18U8,4
2020-08-30,Ace Ventura: Pet Detective,1994,https://boxd.it/25RW,3
2020-09-01,Se7en,1995,https://boxd.it/29zs,4
2020-09-02,Spotlight,2015,https://boxd.it/a84k,3.5
2020-09-03,Project X,2012,https://boxd.it/neO,2
2020-09-03,Mulan,1998,https://boxd.it/1VFw,3.5
2020-09-07,The Mask,1994,https://boxd.it/29rS,2.5
2020-09-08,Phineas and Ferb: The Movie: Candace Against the Universe,2020,https://boxd.it/lTrs,2
2020-09-09,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,3
2020-09-12,Tenet,2020,https://boxd.it/leq4,3.5
2020-09-13,Bill & Ted's Excellent Adventure,1989,https://boxd.it/28oI,3
2020-09-13,Bill & Ted's Bogus Journey,1991,https://boxd.it/28oy,3
2020-09-13,50/50,2011,https://boxd.it/10Tw,4
2020-09-14,(500) Days of Summer,2009,https://boxd.it/1EmM,3
2020-09-14,The Earliest Show,2016,https://boxd.it/tGJO,3.5
2020-09-15,Bill & Ted Face the Music,2020,https://boxd.it/i7BI,3
2020-09-15,My Friend Dahmer,2017,https://boxd.it/fQ7W,2.5
2020-09-16,Mean Girls,2004,https://boxd.it/1VNg,3.5
2020-09-16,Safety Not Guaranteed,2012,https://boxd.it/2Y3M,2.5
2020-09-18,Star Trek,2009,https://boxd.it/1Q6c,4
2020-09-18,Spree,2020,https://boxd.it/oiiO,3
2020-09-19,The Devil All the Time,2020,https://boxd.it/i2tY,4.5
2020-09-20,Fun with Dick and Jane,2005,https://boxd.it/20PG,3
2020-09-22,The Hate U Give,2018,https://boxd.it/gQyg,4
2020-09-23,The Social Dilemma,2020,https://boxd.it/opQI,3.5
2020-09-24,Bombshell,2019,https://boxd.it/j5YC,3.5
2020-09-26,mid90s,2018,https://boxd.it/fxIa,3.5
2020-09-26,10 Things I Hate About You,1999,https://boxd.it/23AO,3.5
2020-09-26,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/5a9m,2
2020-09-26,Who Framed Roger Rabbit,1988,https://boxd.it/29ry,3.5
2020-09-27,Jack,1996,https://boxd.it/21au,3
2020-09-28,Manchester by the Sea,2016,https://boxd.it/b2L0,3.5
2020-09-28,Enola Holmes,2020,https://boxd.it/hX2o,2.5
2020-09-28,Secret Society of Second Born Royals,2020,https://boxd.it/n0Py,1.5
2020-09-28,Real Steel,2011,https://boxd.it/147m,2.5
2020-09-29,Saw,2004,https://boxd.it/2aWW,3
2020-09-29,Gran Torino,2008,https://boxd.it/1Qzy,3.5
2020-09-30,12 Angry Men,1957,https://boxd.it/2auI,4
2020-09-30,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/2aLu,4
2020-09-30,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68,2
2020-09-30,Shazam!,2019,https://boxd.it/8WBu,3.5
2020-10-01,Mr. Popper's Penguins,2011,https://boxd.it/kRS,2
2020-10-01,The Theory of Everything,2014,https://boxd.it/7YtA,3
2020-10-05,Scream,1996,https://boxd.it/24EC,4
2020-10-06,The Thing,1982,https://boxd.it/294O,4
2020-10-07,Final Destination,2000,https://boxd.it/1YrC,3.5
2020-10-07,The Lighthouse,2019,https://boxd.it/icFU,4
2020-10-07,Tall Girl,2019,https://boxd.it/n9yG,1.5
2020-10-08,Hubie Halloween,2020,https://boxd.it/mQwm,2.5
2020-10-09,Rear Window,1954,https://boxd.it/2a6Q,4
2020-10-13,Fargo,1996,https://boxd.it/2aHM,4
2020-10-13,Stranger Than Fiction,2006,https://boxd.it/28Za,4
2020-10-13,The Purge,2013,https://boxd.it/4Xg0,2
2020-10-14,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2020-10-14,The Game,1997,https://boxd.it/26vC,3
2020-10-15,The Royal Tenenbaums,2001,https://boxd.it/1YHU,3.5
2020-10-16,The Graduate,1967,https://boxd.it/18Im,4
2020-10-16,The Departed,2006,https://boxd.it/28MA,4
2020-10-17,Three Identical Strangers,2018,https://boxd.it/hDNO,3.5
2020-10-17,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,4
2020-10-17,Friday the 13th,1980,https://boxd.it/24fs,3
